id;nomenclaturalCode;eventDate;language;type;verbatimSRS;catalogNumber;continent;identifiedBy;coordinateUncertaintyInMeters;recordedBy;datasetID;rightsHolder;eventID;decimalLongitude;institutionCode;datasetName;verbatimCoordinates;modified;samplingProtocol;scientificName;ownerInstitutionCode;verbatimCoordinateSystem;countryCode;geodeticDatum;individualCount;basisOfRecord;taxonRank;lifeStage;decimalLatitude;scientificNameAuthorship;rights
INBO:NBN:BFN0017900000PBI;ICZN;2/07/1999;nl;Event;BD72;BFN0017900000PBI;Europe;Stijn Vanacker;30;Stijn Vanacker;http://dataset.inbo.be/kevers-grensmaas-occurrences;INBO;EL499;5.79648;INBO;Loopkevers aan de Grensmaas: Carabid beetles near the river Meuse;250088.01, 195316.51;2/07/1999;pitfall trap;Agonum dorsale;INBO;Lambert 72;BE;WGS84;4;HumanObservation;species;"Adult: 2; Adult Male: 0; Adult Female: 2";51.05933;(Pontoppidan, 1763);http://creativecommons.org/licenses/by-nc-sa/3.0/
INBO:NBN:BFN0017900000PBJ;ICZN;2/07/1999;nl;Event;BD72;BFN0017900000PBJ;Europe;Stijn Vanacker;30;Stijn Vanacker;http://dataset.inbo.be/kevers-grensmaas-occurrences;INBO;EL499;5.79648;INBO;Loopkevers aan de Grensmaas: Carabid beetles near the river Meuse;250088.01, 195316.51;2/07/1999;pitfall trap;Agonum muelleri;INBO;Lambert 72;BE;WGS84;2;HumanObservation;species;"Adult: 1; Adult Male: 1; Adult Female: 0";51.05933;(Herbst, 1785);http://creativecommons.org/licenses/by-nc-sa/3.0/
INBO:NBN:BFN0017900000PBK;ICZN;2/07/1999;nl;Event;BD72;BFN0017900000PBK;Europe;Stijn Vanacker;30;Stijn Vanacker;http://dataset.inbo.be/kevers-grensmaas-occurrences;INBO;EL499;5.79648;INBO;Loopkevers aan de Grensmaas: Carabid beetles near the river Meuse;250088.01, 195316.51;2/07/1999;pitfall trap;Bembidion femoratum;INBO;Lambert 72;BE;WGS84;2;HumanObservation;species;"Adult: 1; Adult Male: 1; Adult Female: 0";51.05933;(Sturm, 1825);http://creativecommons.org/licenses/by-nc-sa/3.0/
INBO:NBN:BFN0017900000PBL;ICZN;2/07/1999;nl;Event;BD72;BFN0017900000PBL;Europe;Stijn Vanacker;30;Stijn Vanacker;http://dataset.inbo.be/kevers-grensmaas-occurrences;INBO;EL499;5.79648;INBO;Loopkevers aan de Grensmaas: Carabid beetles near the river Meuse;250088.01, 195316.51;2/07/1999;pitfall trap;Bembidion properans;INBO;Lambert 72;BE;WGS84;2;HumanObservation;species;"Adult: 1; Adult Male: 1; Adult Female: 0";51.05933;(Stephens, 1829);http://creativecommons.org/licenses/by-nc-sa/3.0/
INBO:NBN:BFN0017900000PBM;ICZN;13/07/1999;nl;Event;BD72;BFN0017900000PBM;Europe;Stijn Vanacker;30;Stijn Vanacker;http://dataset.inbo.be/kevers-grensmaas-occurrences;INBO;EL599;5.79648;INBO;Loopkevers aan de Grensmaas: Carabid beetles near the river Meuse;250088.01, 195316.51;13/07/1999;pitfall trap;Bembidion atrocoeruleum;INBO;Lambert 72;BE;WGS84;2;HumanObservation;species;"Adult: 1; Adult Male: 0; Adult Female: 1";51.05933;(Stephens, 1829);http://creativecommons.org/licenses/by-nc-sa/3.0/
INBO:NBN:BFN0017900000PBN;ICZN;13/07/1999;nl;Event;BD72;BFN0017900000PBN;Europe;Stijn Vanacker;30;Stijn Vanacker;http://dataset.inbo.be/kevers-grensmaas-occurrences;INBO;EL599;5.79648;INBO;Loopkevers aan de Grensmaas: Carabid beetles near the river Meuse;250088.01, 195316.51;13/07/1999;pitfall trap;Bembidion femoratum;INBO;Lambert 72;BE;WGS84;4;HumanObservation;species;"Adult: 2; Adult Male: 1; Adult Female: 1";51.05933;(Sturm, 1825);http://creativecommons.org/licenses/by-nc-sa/3.0/
INBO:NBN:BFN0017900000PBO;ICZN;13/07/1999;nl;Event;BD72;BFN0017900000PBO;Europe;Stijn Vanacker;30;Stijn Vanacker;http://dataset.inbo.be/kevers-grensmaas-occurrences;INBO;EL599;5.79648;INBO;Loopkevers aan de Grensmaas: Carabid beetles near the river Meuse;250088.01, 195316.51;13/07/1999;pitfall trap;Bembidion quadrimaculatum;INBO;Lambert 72;BE;WGS84;4;HumanObservation;species;"Adult: 2; Adult Male: 2; Adult Female: 0";51.05933;(Linnaeus, 1761);http://creativecommons.org/licenses/by-nc-sa/3.0/
INBO:NBN:BFN0017900000PBP;ICZN;1/07/1999;nl;Event;BD72;BFN0017900000PBP;Europe;Stijn Vanacker;30;Stijn Vanacker;http://dataset.inbo.be/kevers-grensmaas-occurrences;INBO;EL499;5.79648;INBO;Loopkevers aan de Grensmaas: Carabid beetles near the river Meuse;250088.01, 195316.51;1/07/1999;pitfall trap;Agonum muelleri;INBO;Lambert 72;BE;WGS84;2;HumanObservation;species;"Adult: 1; Adult Male: 1; Adult Female: 0";51.05933;(Herbst, 1785);http://creativecommons.org/licenses/by-nc-sa/3.0/
INBO:NBN:BFN0017900000PBQ;ICZN;1/07/1999;nl;Event;BD72;BFN0017900000PBQ;Europe;Stijn Vanacker;30;Stijn Vanacker;http://dataset.inbo.be/kevers-grensmaas-occurrences;INBO;EL499;5.79648;INBO;Loopkevers aan de Grensmaas: Carabid beetles near the river Meuse;250088.01, 195316.51;1/07/1999;pitfall trap;Bembidion femoratum;INBO;Lambert 72;BE;WGS84;4;HumanObservation;species;"Adult: 2; Adult Male: 1; Adult Female: 1";51.05933;(Sturm, 1825);http://creativecommons.org/licenses/by-nc-sa/3.0/
INBO:NBN:BFN0017900000PBR;ICZN;1/07/1999;nl;Event;BD72;BFN0017900000PBR;Europe;Stijn Vanacker;30;Stijn Vanacker;http://dataset.inbo.be/kevers-grensmaas-occurrences;INBO;EL499;5.79648;INBO;Loopkevers aan de Grensmaas: Carabid beetles near the river Meuse;250088.01, 195316.51;1/07/1999;pitfall trap;Bembidion punctulatum;INBO;Lambert 72;BE;WGS84;4;HumanObservation;species;"Adult: 2; Adult Male: 1; Adult Female: 1";51.05933;(Drapiez, 1820);http://creativecommons.org/licenses/by-nc-sa/3.0/
